Generated by http://opendatacommunities.org,2017-03-10T12:49:07+00:00
http://opendatacommunities.org/data/labour-force/unemployment/claimant-rate/by-age,"Claimant Count and JSA - Claimant rate, England, by District, LEP"
Reference period,2017 Jan
Measure (cell values): ,Claimant rate (%)(Percent)

,,http://opendatacommunities.org/def/concept/general-concepts/byage/1664
http://opendatacommunities.org/id/geography/administration/nmd/E07000211,Reigate and Banstead E07000211,0.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000124,Ribble Valley E07000124,0.6
http://opendatacommunities.org/id/geography/administration/lonb/E09000027,Richmond upon Thames E09000027,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000166,Richmondshire E07000166,1
http://opendatacommunities.org/id/geography/administration/md/E08000005,Rochdale E08000005,2.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000075,Rochford E07000075,0.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000125,Rossendale E07000125,1.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000064,Rother E07000064,1.2
http://opendatacommunities.org/id/geography/administration/md/E08000018,Rotherham E08000018,2.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000220,Rugby E07000220,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000212,Runnymede E07000212,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000176,Rushcliffe E07000176,0.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000092,Rushmoor E07000092,0.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000167,Ryedale E07000167,1.4
http://opendatacommunities.org/id/geography/administration/md/E08000006,Salford E08000006,2.6
http://opendatacommunities.org/id/geography/administration/md/E08000028,Sandwell E08000028,3.5
http://opendatacommunities.org/id/geography/administration/nmd/E07000168,Scarborough E07000168,2.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000188,Sedgemoor E07000188,2.2
http://opendatacommunities.org/id/geography/administration/md/E08000014,Sefton E08000014,2.5
http://opendatacommunities.org/id/geography/administration/nmd/E07000169,Selby E07000169,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000111,Sevenoaks E07000111,0.7
http://opendatacommunities.org/id/geography/administration/md/E08000019,Sheffield E08000019,2.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000112,Shepway E07000112,2.1
http://opendatacommunities.org/id/geography/administration/md/E08000029,Solihull E08000029,1.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000006,South Bucks E07000006,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000012,South Cambridgeshire E07000012,0.5
http://opendatacommunities.org/id/geography/administration/nmd/E07000039,South Derbyshire E07000039,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000044,South Hams E07000044,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000140,South Holland E07000140,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000141,South Kesteven E07000141,1.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000031,South Lakeland E07000031,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000149,South Norfolk E07000149,0.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire E07000155,0.6
